Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
OKLAHOMA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20192946
TEXAS,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20192947
MOUNTAIN,2019,29,,-,1,,,-,,-,221,,287,,5314,,4593,,,MOUNTAIN,20192948
ARIZONA,2019,29,,-,1,,,-,,-,221,,284,,5257,,4393,,"ARIZONA
(34.293239, -111.664616)",,20192949
COLORADO,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20192950
IDAHO,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20192951
MONTANA,2019,29,,-,0,,,-,,-,,-,2,,3,,14,,"MONTANA
(47.033521, -109.645127)",,20192952
NEVADA,2019,29,,-,0,,,-,,-,,-,5,,45,,113,,"NEVADA
(39.283294, -114.916992)",,20192953
NEW MEXICO,2019,29,,-,0,,,-,,-,,-,4,,8,,36,,"NEW MEXICO
(34.421369, -106.108388)",,20192954
UTAH,2019,29,,-,0,,,-,,-,,-,4,,,-,34,,"UTAH
(39.323779, -111.678222)",,20192955
WYOMING,2019,29,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20192956
PACIFIC,2019,29,,-,1,,,-,1,,23,,229,,3842,,4185,,,PACIFIC,20192957
ALASKA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20192958
CALIFORNIA,2019,29,,-,1,,,-,1,,23,,229,,3840,,4178,,"CALIFORNIA
(37.211164, -119.662127)",,20192959
HAWAII,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20192960
OREGON,2019,29,,-,0,,,-,,-,,-,1,,2,,7,,"OREGON
(43.940449, -120.605279)",,20192961
WASHINGTON,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20192962
US TERRITORIES,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192963
AMERICAN SAMOA,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20192964
NORTHERN MARIANA ISLANDS,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192965
GUAM,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192966
PUERTO RICO,2019,29,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20192967
